#pos	g	errpos	errg
3.92E+03	1.05309	8.79E-03	0.0271514
4.85E+03	1.07083	8.94E-03	0.0352544
5.60E+03	1.12462	9.39E-03	0.04513
6.24E+03	1.08992	9.10E-03	0.0286036
6.82E+03	1.12828	9.42E-03	0.0605704
7.33E+03	1.06968	8.93E-03	0.081207

